0 62.274
0.1 128.831
0.2 195.48
0.3 262.135
0.4 328.793
0.5 395.458
0.6 462.117
0.7 528.778
0.8 595.441
0.9 662.101
1 728.759
1.1 795.426
1.2 862.082
1.3 928.745
1.4 995.405
1.5 1062.05
1.6 1128.69
1.7 1195.4
1.8 1262.06
1.9 1328.72
2 1395.38
2.1 1462.04
2.2 1528.7
2.3 1595.36
2.4 1662.02
2.5 1728.69
2.6 1795.35
2.7 1862.01
2.8 1928.67
2.9 1995.33
3 2061.99
3.1 2128.65
3.2 2195.29
3.3 2261.98
3.4 2328.65
3.5 2395.31
3.6 2461.97
3.7 2528.64
3.8 2595.3
3.9 2661.97
4 2728.63
4.1 2795.29
4.2 2861.96
4.3 2928.62
4.4 2995.29
4.5 3061.95
4.6 3128.61
4.7 3195.28
4.8 3261.94
4.9 3328.59
5 3395.28
5.1 3461.94
5.2 3528.6
5.3 3595.27
5.4 3661.93
5.5 3728.6
5.6 3795.26
5.7 3861.92
5.8 3928.59
5.9 4350.47
